timestamp,open,high,low,close,volume
2024-01-01T00:00:00,40000.00,40200.00,39800.00,40100.00,100.0
2024-01-01T01:00:00,40100.00,40300.00,40000.00,40250.00,110.0
2024-01-01T02:00:00,40250.00,40500.00,40200.00,40450.00,120.0
2024-01-01T03:00:00,40450.00,40700.00,40400.00,40650.00,130.0
2024-01-01T04:00:00,40650.00,40800.00,40500.00,40750.00,140.0
2024-01-01T05:00:00,40750.00,40900.00,40650.00,40850.00,150.0
2024-01-01T06:00:00,40850.00,41050.00,40800.00,40950.00,160.0
2024-01-01T07:00:00,40950.00,41100.00,40850.00,41000.00,170.0
2024-01-01T08:00:00,41000.00,41200.00,40950.00,41150.00,180.0
2024-01-01T09:00:00,41150.00,41350.00,41050.00,41250.00,190.0
2024-01-01T10:00:00,41250.00,41400.00,41150.00,41350.00,200.0
2024-01-01T11:00:00,41350.00,41500.00,41250.00,41400.00,210.0
2024-01-01T12:00:00,41400.00,41600.00,41350.00,41500.00,220.0
2024-01-01T13:00:00,41500.00,41700.00,41450.00,41650.00,230.0
2024-01-01T14:00:00,41650.00,41800.00,41550.00,41750.00,240.0
2024-01-01T15:00:00,41750.00,41900.00,41650.00,41800.00,250.0
2024-01-01T16:00:00,41800.00,42000.00,41700.00,41950.00,260.0
2024-01-01T17:00:00,41950.00,42100.00,41850.00,42000.00,270.0
2024-01-01T18:00:00,42000.00,42200.00,41950.00,42150.00,280.0
2024-01-01T19:00:00,42150.00,42300.00,42050.00,42250.00,290.0
2024-01-01T20:00:00,42250.00,42350.00,42000.00,42050.00,300.0
2024-01-01T21:00:00,42050.00,42100.00,41700.00,41750.00,310.0
2024-01-01T22:00:00,41750.00,41800.00,41400.00,41450.00,320.0
2024-01-01T23:00:00,41450.00,41500.00,41200.00,41250.00,330.0
2024-01-02T00:00:00,41250.00,41350.00,41050.00,41100.00,340.0
2024-01-02T01:00:00,41100.00,41200.00,40950.00,41000.00,350.0
2024-01-02T02:00:00,41000.00,41100.00,40850.00,40900.00,360.0
2024-01-02T03:00:00,40900.00,41050.00,40750.00,40800.00,370.0
2024-01-02T04:00:00,40800.00,40900.00,40650.00,40750.00,380.0
2024-01-02T05:00:00,40750.00,40850.00,40600.00,40700.00,390.0
2024-01-02T06:00:00,40700.00,40800.00,40550.00,40650.00,400.0
2024-01-02T07:00:00,40650.00,40750.00,40400.00,40450.00,410.0
2024-01-02T08:00:00,40450.00,40550.00,40300.00,40350.00,420.0
2024-01-02T09:00:00,40350.00,40450.00,40200.00,40300.00,430.0
2024-01-02T10:00:00,40300.00,40450.00,40200.00,40350.00,440.0
2024-01-02T11:00:00,40350.00,40500.00,40250.00,40450.00,450.0
2024-01-02T12:00:00,40450.00,40600.00,40400.00,40550.00,460.0
2024-01-02T13:00:00,40550.00,40700.00,40450.00,40650.00,470.0
2024-01-02T14:00:00,40650.00,40800.00,40550.00,40750.00,480.0
2024-01-02T15:00:00,40750.00,40900.00,40700.00,40850.00,490.0
2024-01-02T16:00:00,40850.00,41000.00,40800.00,40950.00,500.0
2024-01-02T17:00:00,40950.00,41100.00,40900.00,41050.00,510.0
2024-01-02T18:00:00,41050.00,41200.00,41000.00,41150.00,520.0
2024-01-02T19:00:00,41150.00,41300.00,41100.00,41250.00,530.0
2024-01-02T20:00:00,41250.00,41400.00,41200.00,41350.00,540.0
2024-01-02T21:00:00,41350.00,41500.00,41300.00,41450.00,550.0
2024-01-02T22:00:00,41450.00,41600.00,41400.00,41550.00,560.0
2024-01-02T23:00:00,41550.00,41700.00,41500.00,41650.00,570.0
